"","PlayerCode","Name","Home State","RecruitingRank","Position","RecruitingGrade","YearRanked","TotalPoints","YearsPlayed","PointsPerYear"
"116",1008147,"Wes Byrum","FL",208,"K","79",2007,0,4,0
"117",1008149,"Chris Slaughter","GA",640,"WR","75",2007,27,2,14
"118",1008152,"Ryan Williams","AL",567,"WR","76",2007,0,1,0
"119",1008158,"John Douglas","GA",894,"FB","73",2007,0,1,0
"120",1008159,"Brent Slusher","KY",639,"TE","75",2007,0,1,0
"121",1008164,"Bo Harris","GA",735,"DE","74",2007,0,1,0
"122",1008166,"Adam Herring","AR",989,"ILB","73",2007,0,2,0
"123",1008175,"Lee Ziemba","AR",68,"OT","81",2007,-1,4,0
"124",1008186,"Perci Garner","OH",526,"QB","76",2007,0,1,0
"125",1008189,"Brandon Carnegie","MI",1686,"WR","68",2007,0,3,0
"126",1008192,"Sean Baker","OH",1713,"S","67",2007,8,4,2
"127",1008193,"Ian McGarvey","IN",7659,"K","49",2007,0,4,0
"128",1008195,"Ray Winkler","IN",7172,"RB","49",2007,12,4,3
"129",1008196,"Lorren Womack","OH",4187,"OLB","49",2007,0,4,0
"130",1008198,"Pete Rolf","OH",1433,"OLB","69",2007,0,1,0
"131",1008205,"Davyd Jones","IN",4625,"OLB","49",2007,2,4,1
"132",1008210,"Jerrod Gray","IL",2627,"DE","49",2007,0,4,0
"133",1008213,"Kreg Hunter","IN",5303,"OG","49",2007,0,3,0
"134",1008220,"Rene Perry","FL",3583,"DT","49",2007,0,4,0
"135",1008227,"John David Weed","TX",5310,"QB","49",2007,1,2,1
"136",1008228,"Ray Sims","TX",8379,"S","49",2007,15,2,8
"137",1008232,"Clifton Odom","TX",6621,"CB","49",2007,4,4,1
"138",1008234,"Earl Patin","LA",5286,"ILB","49",2007,4,4,1
"139",1008235,"Chris Francis","TX",940,"ILB","73",2007,1,4,1
"140",1008236,"Elliot Coffey","TX",1461,"CB","69",2007,0,4,0
"141",1008240,"Shea Brewster","TX",831,"K","74",2007,0,2,0
