"Name","Hometown","Position","Stars","Grade","School"
"Greg Townsend Jr.Video | Scouts Report","Beverly Hills, CABeverly Hills High School","#9 DE","","81","Signed02/02/2011"
"Kevin GroomsVideo | Scouts Report","Hollywood, FLSouth Broward High School","#11 ATH","","81","Signed02/02/2011"
"Jabari GormanVideo | Scouts Report","Miami, FLMonsignor Edward Pace High School","#8 S","","81","Signed02/02/2011"
"Josh TurnerVideo | Scouts Report","Oklahoma City, OKMillwood High School","#12 ATH","","81","Signed02/02/2011"
"Brey CookVideo | Scouts Report","Springdale, ARHar Ber High School","#5 OG","","81","Signed01/28/2011"
"T.J. ThorpeVideo | Scouts Report","Durham, NCCharles E. Jordan Senior H. S.","#13 ATH","","81","Signed01/14/2011"
"Stephon TuittVideo | Scouts Report","Monroe, GAMonroe Area High School","#10 DE","","81","Signed02/02/2011"
"Maurice HarrisVideo | Scouts Report","Greensboro, NCNorthern Guilford High School","#16 WR","","81","Signed02/02/2011"
"Demetrious NicholsonVideo | Scouts Report","Virginia Beach, VABayside High School","#4 CB","","81","Signed02/02/2011"
"Sedrick FlowersVideo | Scouts Report","Houston, TXNorth Shore High School","#6 OG","","81","Signed02/02/2011"
"Brandon FulseVideo | Scouts Report","Fort Meade, FLFort Meade Senior High School","#5 TE","","81","Signed02/02/2011"
"LaDarius BrownVideo | Scouts Report","Waxahachie, TXWaxahachie High School","#17 WR","","81","Signed02/02/2011"
"Marqise LeeVideo | Scouts Report","Gardena, CAJunipero Serra High School","#14 ATH","","81","Signed02/02/2011"
"Viliami MoalaVideo | Scouts Report","Sacramento, CAGrant High School","#7 DT","","81","Signed02/02/2011"
"Darius JenningsVideo | Scouts Report","Baltimore, MDGilman School","#15 ATH","","81","Signed02/02/2011"
"Kiaro HoltsVideo | Scouts Report","Indianapolis, INWarren Central High School","#6 OT","","81","Signed02/02/2011"
"Christian LeMayVideo | Scouts Report","Mint Hill, NCButler High School","#5 QB","","81","Signed01/28/2011"
"Nathan HughesVideo | Scouts Report","Klein, TXKlein Oak High School","#11 DE","","81","Signed02/02/2011"
"Andre YruretagoyenaVideo | Scouts Report","Scottsdale, AZChaparral High School","#7 OT","","81","Signed02/02/2011"
"Jordan WadeVideo | Scouts Report","Round Rock, TXStony Point High School","#8 DT","","81","Signed02/02/2011"
"Vad LeeVideo | Scouts Report","Durham, NCHillside High School","#16 ATH","","81","Signed02/02/2011"
"Antonio RichardsonVideo | Scouts Report","Nashville, TNPearl-Cohn High School","#8 OT","","81","Signed02/02/2011"
"Evan SpencerVideo | Scouts Report","Vernon Hills, ILVernon Hills High School","#18 WR","","81","Signed02/02/2011"
"Kelcy QuarlesVideo | Scouts Report","Greenwood, SCFork Union Military Academy","DT(POST)","","81","Signed02/02/2011"
"Brett HundleyVideo | Scouts Report","Chandler, AZChandler High School","#6 QB","","81","Signed01/14/2011"
"Christian JonesVideo | Scouts Report","Spring, TXWestfield High School","#19 WR","","81","Signed02/02/2011"
"Charles JacksonVideo | Scouts Report","Klein, TXKlein Collins High School","#5 CB","","81","Signed02/02/2011"
"Austin Seferian-JenkinsVideo | Scouts Report","Gig Harbor, WAGig Harbor High School","#9 OT","","81","Signed02/02/2011"
"Christian HeywardVideo | Scouts Report","San Diego, CAPoint Loma High School","#9 DT","","81","Signed02/02/2011"
"Marcus RobersonVideo | Scouts Report","Fort Lauderdale, FLSaint Thomas Aquinas High School","#9 S","","81","Signed02/02/2011"
"Lateek TownsendVideo | Scouts Report","Bennettsville, SCMarlboro County High School","#5 OLB","","81","Signed02/02/2011"
"Amir CarlisleVideo | Scouts Report","Sunnyvale, CAThe King's Academy","#17 ATH","","81","Signed02/02/2011"
"Bubba StarlingVideo | Scouts Report","Gardner, KSGardner Edgerton High School","#7 QB","","81","Signed02/02/2011"
"Tyler HunterVideo | Scouts Report","Valdosta, GALowndes High School","#10 S","","81","Signed02/02/2011"
"Aubrey ColemanVideo | Scouts Report","Walnut, CAWalnut High School","#18 ATH","","81","List"
"A.J. JohnsonVideo | Scouts Report","Gainesville, GAGainesville High School","#5 ILB","","81","Signed02/02/2011"
"Jordan PhillipsVideo | Scouts Report","Towanda, KSCircle High School","#10 DT","","80","Signed02/02/2011"
"Kenny HilliardVideo | Scouts Report","Patterson, LAPatterson High School","#9 RB","","80","Signed02/02/2011"
"Mickey JohnsonVideo | Scouts Report","Covington, LASaint Pauls School","#11 DT","","80","Signed02/02/2011"
"Dominique TerrellVideo | Scouts Report","Manassas, VAOsbourn Senior High School","#19 ATH","","80","Signed02/02/2011"
"Anthony RabasaVideo | Scouts Report","Miami, FLChristopher Columbus High School","#12 DE","","80","Signed02/02/2011"
"Herschel SimsVideo | Scouts Report","Abilene, TXAbilene High School","#10 RB","","80","Signed02/02/2011"
"Rashad GreeneVideo | Scouts Report","Fort Lauderdale, FLSaint Thomas Aquinas High School","#20 WR","","80","Signed02/02/2011"
"Jerrard RandallVideo | Scouts Report","Hollywood, FLChaminade-Madonna College Prep","#8 QB","","80","Signed03/25/2011"
"Michael BennettVideo | Scouts Report","Centerville, OHCenterville High School","#7 OG","","80","Signed02/02/2011"
