"Name","Hometown","Position","Stars","Grade","School"
"Carlos WatkinsVideo | Scouts Report","Forest City, NCChase High School","#12 DT","","80","Signed10/14/2011"
"Lorenzo PhillipsVideo | Scouts Report","Patterson, LAPatterson High School","#12 OLB","","80","Signed01/21/2012"
"Lucas ThompsonVideo | Scouts Report","Winter Garden, FLWest Orange High School","#7 S","","80","Signed01/05/2012"
"Derrick WoodsVideo | Scouts Report","Inglewood, CAInglewood High School","#19 WR","","80","Signed12/06/2011"
"Brian KimbrowVideo | Scouts Report","Memphis, TNEast High School","#13 ATH","","80","Signed07/02/2011"
"Ford ChildressVideo | Scouts Report","Houston, TXThe Kinkaid School","#8 QB","","80","Signed04/09/2011"
"Quay EvansVideo | Scouts Report","Morton, MSMorton High School","#13 DT","","80","Signed12/01/2011"
"Daje JohnsonVideo | Scouts Report","Pflugerville, TXHendrickson High School","#14 ATH","","80","Signed01/28/2012"
"Joe BoldenVideo | Scouts Report","Cincinnati, OHColerain High School","#5 ILB","","80","Signed04/29/2011"
"Sheldon DayVideo | Scouts Report","Indianapolis, INWarren Central High School","#14 DT","","80","Signed08/03/2011"
"Kent TureneVideo | Scouts Report","Fort Lauderdale, FLAtlanta Sports Academy","OLB(POST)","","80","Signed12/21/2011"
"De'Vante HarrisVideo | Scouts Report","Mesquite, TXHorn High School","#11 CB","","80","Signed01/16/2012"
"Malcolm LewisVideo | Scouts Report","Miramar, FLMiramar High School","#20 WR","","80","Signed11/17/2011"
"Kent TaylorVideo | Scouts Report","Land O'Lakes, FLLand O. Lakes High School","#4 TE","","80","Signed10/27/2011"
"Cayleb JonesVideo | Scouts Report","Austin, TXS. F. Austin High School","#21 WR","","80","Signed02/27/2011"
"Ty DarlingtonVideo | Scouts Report","Apopka, FLApopka High School","#2 OC","","80","Signed06/17/2011"
"Marcus MayeVideo | Scouts Report","Melbourne, FLHoly Trinity Episcopal Academy","#8 S","","80","Signed07/18/2011"
"Alton HowardVideo | Scouts Report","Orlando, FLEdgewater High School","#22 WR","","80","Signed12/07/2011"
"Brock StadnikVideo | Scouts Report","Greensboro, NCWestern Guilford High School","#16 OT","","80","Signed05/05/2011"
